Observer,Sample_spp,SiteLong,SiteShort,SiteCode,Sample_ID,Sampling_date,day,mo,yr,DOY,Season,SeasonCode,Species,SppCode,Body_Length,Head_Width,density_per_m2,Body_Width,Height,Length of 1st Antennae,Adult?,has citellum?
Ellen,W1_28_6_2019_PO,KiW1/W1/Bulau,W1,4,Grob,28/06/2019,28,6,2019,179,late,2,Prodiamesa olivacea,PO,12.04,0.84,67.2,,,,,
Ellen,W1_28_6_2019_PO,KiW1/W1/Bulau,W1,4,Grob,28/06/2019,28,6,2019,179,late,2,Prodiamesa olivacea,PO,10.52,0.83,67.2,,,,,
Ellen,W1_28_6_2019_PO,KiW1/W1/Bulau,W1,4,Grob,28/06/2019,28,6,2019,179,late,2,Prodiamesa olivacea,PO,11.68,0.79,67.2,,,,,
Ellen,W1_28_6_2019_PO,KiW1/W1/Bulau,W1,4,Grob,28/06/2019,28,6,2019,179,late,2,Prodiamesa olivacea,PO,10.02,0.77,67.2,,,,,
Ellen,W1_28_6_2019_PO,KiW1/W1/Bulau,W1,4,Grob,28/06/2019,28,6,2019,179,late,2,Prodiamesa olivacea,PO,11.95,0.73,67.2,,,,,
Ellen,W1_28_6_2019_PO,KiW1/W1/Bulau,W1,4,Grob,28/06/2019,28,6,2019,179,late,2,Prodiamesa olivacea,PO,9.54,0.72,67.2,,,,,
Ellen,W1_28_6_2019_PO,KiW1/W1/Bulau,W1,4,Grob,28/06/2019,28,6,2019,179,late,2,Prodiamesa olivacea,PO,9.73,0.69,67.2,,,,,
Ellen,W1_28_6_2019_PO,KiW1/W1/Bulau,W1,4,Grob,28/06/2019,28,6,2019,179,late,2,Prodiamesa olivacea,PO,10.07,0.67,67.2,,,,,
Ellen,W1_28_6_2019_PO,KiW1/W1/Bulau,W1,4,Grob,28/06/2019,28,6,2019,179,late,2,Prodiamesa olivacea,PO,12.18,0.63,67.2,,,,,
Ellen,W1_28_6_2019_PO,KiW1/W1/Bulau,W1,4,Grob,28/06/2019,28,6,2019,179,late,2,Prodiamesa olivacea,PO,8.08,0.43,67.2,,,,,
Lucie,W1_9_3_2018_PO,KiW1/W1/Bulau,W1,4,Grob,43346,9,3,2018,68,early,1,Prodiamesa olivacea,PO,9.68,0.68,39.2,,,,,
Lucie,W1_12_7_2016_PO,KiW1/W1/Bulau,W1,4,Grob,42711,12,7,2016,194,late,2,Prodiamesa olivacea,PO,11.48,0.4,3.2,,,,,
