Observer,Sample_spp,code,SiteLong,SiteShort,SiteCode,Sample_ID,Sampling_date,day,mo,yr,DOY,Season,SeasonCode,Yryly_Temp_old,Species,SppCode,Body_Length,Head_Width,density_per_m2,Body_Width,Height,Length of 1st Antennae,Adult?,has citellum?,b,a,log10(a),unit,equation,dry_mass_mg,Yryly_Temp
Ellen,W1_28_6_2019_PO,W1_2019_6_28,KiW1/W1/Bulau,W1,4,Grob,28/06/2019,28,6,2019,179,late,2,NA,Prodiamesa olivacea,PO,12.04,0.84,67.2,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.211356632,12.11666667
Ellen,W1_28_6_2019_PO,W1_2019_6_28,KiW1/W1/Bulau,W1,4,Grob,28/06/2019,28,6,2019,179,late,2,NA,Prodiamesa olivacea,PO,10.52,0.83,67.2,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.850917972,12.11666667
Ellen,W1_28_6_2019_PO,W1_2019_6_28,KiW1/W1/Bulau,W1,4,Grob,28/06/2019,28,6,2019,179,late,2,NA,Prodiamesa olivacea,PO,11.68,0.79,67.2,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.118846286,12.11666667
Ellen,W1_28_6_2019_PO,W1_2019_6_28,KiW1/W1/Bulau,W1,4,Grob,28/06/2019,28,6,2019,179,late,2,NA,Prodiamesa olivacea,PO,10.02,0.77,67.2,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.749106098,12.11666667
Ellen,W1_28_6_2019_PO,W1_2019_6_28,KiW1/W1/Bulau,W1,4,Grob,28/06/2019,28,6,2019,179,late,2,NA,Prodiamesa olivacea,PO,11.95,0.73,67.2,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.187802714,12.11666667
Ellen,W1_28_6_2019_PO,W1_2019_6_28,KiW1/W1/Bulau,W1,4,Grob,28/06/2019,28,6,2019,179,late,2,NA,Prodiamesa olivacea,PO,9.54,0.72,67.2,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.658795466,12.11666667
Ellen,W1_28_6_2019_PO,W1_2019_6_28,KiW1/W1/Bulau,W1,4,Grob,28/06/2019,28,6,2019,179,late,2,NA,Prodiamesa olivacea,PO,9.73,0.69,67.2,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.693687403,12.11666667
Ellen,W1_28_6_2019_PO,W1_2019_6_28,KiW1/W1/Bulau,W1,4,Grob,28/06/2019,28,6,2019,179,late,2,NA,Prodiamesa olivacea,PO,10.07,0.67,67.2,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.758928093,12.11666667
Ellen,W1_28_6_2019_PO,W1_2019_6_28,KiW1/W1/Bulau,W1,4,Grob,28/06/2019,28,6,2019,179,late,2,NA,Prodiamesa olivacea,PO,12.18,0.63,67.2,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),1.248565868,12.11666667
Ellen,W1_28_6_2019_PO,W1_2019_6_28,KiW1/W1/Bulau,W1,4,Grob,28/06/2019,28,6,2019,179,late,2,NA,Prodiamesa olivacea,PO,8.08,0.43,67.2,NA,NA,NA,NA,NA,2.617,0.0018,NA,mg,DM = a(L^b),0.426548124,12.11666667
