Sample_spp,code,SiteLong,SiteShort,SiteCode,Sample_ID,day,mo,yr,DOY,Season,SeasonCode,Yryly_Temp,Species,SppCode,density_per_m2
Auba_4_9_2001_AF,Auba_2001_9_4,Aubach,Auba,1,grob,4,9,2001,247,late,2,NA,Ancylus fluviatilis,AF,7.2
Auba_21_6_2001_BR,Auba_2001_6_21,A2 Aubach,Auba,1,grob,21,6,2001,172,late,2,NA,Baetis rhodani,BR,58.4
Auba_4_9_2001_BR,Auba_2001_9_4,A2 Aubach,Auba,1,grob,4,9,2001,247,late,2,NA,Baetis rhodani,BR,63.2
Auba_21_6_2001_ED,Auba_2001_6_21,Aubach,Auba,1,A2,21,6,2001,172,late,2,NA,Ephemera danica,ED,2.4
Auba_23_4_2001_ED,Auba_2001_4_23,Aubach,Auba,1,A1,23,4,2001,113,early,1,NA,Ephemera danica,ED,4
Auba_21_6_2001_HS,Auba_2001_6_21,Aubach,Auba,1,A2,21,6,2001,172,late,2,NA,Hydropsyche siltalai,HS,14.4
Auba_23_4_2001_HS,Auba_2001_4_23,Aubach,Auba,1,A1,23,4,2001,113,early,1,NA,Hydropsyche siltalai,HS,19.2
Auba_21_6_2001_PO,Auba_2001_6_21,Aubach,Auba,1,A2,21,6,2001,172,late,2,NA,Prodiamesa olivacea,PO,NA
Bieb_30_8_2001_BR,Bieb_2001_8_30,Bieber,Bieb,2,grob,30,8,2001,242,late,2,NA,Baetis rhodani,BR,78.4
Bieb_22_6_2001_HS,Bieb_2001_6_22,Bieber,Bieb,2,B1,22,6,2001,173,late,2,NA,Hydropsyche siltalai,HS,14.4
Bieb_30_8_2001_OV,Bieb_2001_8_30,Bieber,Bieb,2,fein,30,8,2001,242,late,2,NA,Orectochilus villosus,OV,4
Bieb_22_6_2001_PO,Bieb_2001_6_22,Bieber,Bieb,2,B1,22,6,2001,173,late,2,NA,Prodiamesa olivacea,PO,NA
Auba_14_6_2002_AF,Auba_2002_6_14,Aubach,Auba,1,Einzelexemplare,14,6,2002,165,late,2,NA,Ancylus fluviatilis,AF,5.6
Auba_14_6_2002_BR,Auba_2002_6_14,Aubach,Auba,1,grob,14,6,2002,165,late,2,NA,Baetis rhodani,BR,73.6
Auba_14_6_2002_HS,Auba_2002_6_14,Aubach,Auba,1,Grob,14,6,2002,165,late,2,NA,Hydropsyche siltalai,HS,76.8
Auba_14_6_2002_PO,Auba_2002_6_14,Aubach,Auba,1,,14,6,2002,165,late,2,NA,Prodiamesa olivacea,PO,134.4
Bieb_12_6_2002_BR,Bieb_2002_6_12,Bieber,Bieb,2,grob,12,6,2002,163,late,2,NA,Baetis rhodani,BR,10.4
Bieb_12_6_2002_ED,Bieb_2002_6_12,Bieber,Bieb,2,Einzelexemplare,12,6,2002,163,late,2,NA,Ephemera danica,ED,10.4
Bieb_12_6_2002_ED,Bieb_2002_6_12,Bieber,Bieb,2,Grob,12,6,2002,163,late,2,NA,Ephemera danica,ED,10.4
Bieb_12_6_2002_HS,Bieb_2002_6_12,Bieber,Bieb,2,Grob,12,6,2002,163,late,2,NA,Hydropsyche siltalai,HS,19.2
Bieb_12_6_2002_PO,Bieb_2002_6_12,Bieber,Bieb,2,Fein,12,6,2002,163,late,2,NA,Prodiamesa olivacea,PO,NA
Bieb_12_6_2002_PO,Bieb_2002_6_12,Bieber,Bieb,2,Grob,12,6,2002,163,late,2,NA,Prodiamesa olivacea,PO,NA
Auba_15_7_2003_AF,Auba_2003_7_15,Aubach oh Wiesenthal,Auba,1,grob-RIVPACS,15,7,2003,196,late,2,NA,Ancylus fluviatilis,AF,9.6
Auba_15_7_2003_AF,Auba_2003_7_15,Aubach oh Wiesenthal,Auba,1,grob-RIVPACS-extra,15,7,2003,196,late,2,NA,Ancylus fluviatilis,AF,9.6
Auba_15_7_2003_AF,Auba_2003_7_15,Aubach oh Wiesenthal,Auba,1,fein,15,7,2003,196,late,2,NA,Ancylus fluviatilis,AF,9.6
Auba_17_3_2003_AF,Auba_2003_3_17,Aubach,Auba,1,grob,17,3,2003,76,early,1,NA,Ancylus fluviatilis,AF,28.8
Auba_15_7_2003_BR,Auba_2003_7_15,Aubach oh.Wiesthal,Auba,1,fein,15,7,2003,196,late,2,NA,Baetis rhodani,BR,24
Auba_17_3_2003_BR,Auba_2003_3_17,Aubach oh.Wiesthal,Auba,1,grob,17,3,2003,76,early,1,NA,Baetis rhodani,BR,140.8
Auba_15_7_2003_ED,Auba_2003_7_15,Aubach,Auba,1,Restanteil_Grob,15,7,2003,196,late,2,NA,Ephemera danica,ED,5.6
Auba_15_7_2003_ED,Auba_2003_7_15,Aubach,Auba,1,Einzelexemplare,15,7,2003,196,late,2,NA,Ephemera danica,ED,5.6
Auba_17_3_2003_ED,Auba_2003_3_17,Aubach,Auba,1,Einzelexemplare,17,3,2003,76,early,1,NA,Ephemera danica,ED,3.2
Auba_17_3_2003_HS,Auba_2003_3_17,Aubach,Auba,1,Grob,17,3,2003,76,early,1,NA,Hydropsyche siltalai,HS,262.4
Auba_15_7_2003_PO,Auba_2003_7_15,Aubach,Auba,1,Grob,15,7,2003,196,late,2,NA,Prodiamesa olivacea,PO,4.8
Auba_15_7_2003_PO,Auba_2003_7_15,Aubach,Auba,1,Fein,15,7,2003,196,late,2,NA,Prodiamesa olivacea,PO,4.8
Auba_17_3_2003_PO,Auba_2003_3_17,Aubach,Auba,1,,17,3,2003,76,early,1,NA,Prodiamesa olivacea,PO,NA
Bieb_14_7_2003_BR,Bieb_2003_7_14,Bieber,Bieb,2,grob,14,7,2003,195,late,2,NA,Baetis rhodani,BR,29.6
Bieb_14_7_2003_BR,Bieb_2003_7_14,Bieber,Bieb,2,fein,14,7,2003,195,late,2,NA,Baetis rhodani,BR,29.6
Bieb_11_3_2003_HS,Bieb_2003_3_11,Bieber,Bieb,2,Grob,11,3,2003,70,early,1,NA,Hydropsyche siltalai,HS,57.6
Bieb_14_7_2003_HS,Bieb_2003_7_14,Bieber,Bieb,2,Grob,14,7,2003,195,late,2,NA,Hydropsyche siltalai,HS,28.8
Bieb_11_3_2003_OV,Bieb_2003_3_11,Bieber,Bieb,2,grob,11,3,2003,70,early,1,NA,Orectochilus villosus,OV,32.91429
Bieb_11_3_2003_PO,Bieb_2003_3_11,Bieber,Bieb,2,,11,3,2003,70,early,1,NA,Prodiamesa olivacea,PO,NA
Bieb_14_7_2003_PO,Bieb_2003_7_14,Bieber,Bieb,2,,14,7,2003,195,late,2,NA,Prodiamesa olivacea,PO,24.8
