Sample_spp,code,SiteLong,SiteShort,SiteCode,Sample_ID,day,mo,yr,DOY,Season,SeasonCode,Species,SppCode,density_per_m2,Yryly_Temp_old,Yryly_Temp
Auba_4_9_2001_AF,Auba_2001_9_4,Aubach,Auba,1,grob,4,9,2001,247,late,2,Ancylus fluviatilis,AF,7.2,NA,9.75
Auba_21_6_2001_BR,Auba_2001_6_21,A2 Aubach,Auba,1,grob,21,6,2001,172,late,2,Baetis rhodani,BR,58.4,NA,9.525
Auba_4_9_2001_BR,Auba_2001_9_4,A2 Aubach,Auba,1,grob,4,9,2001,247,late,2,Baetis rhodani,BR,63.2,NA,9.75
Auba_21_6_2001_ED,Auba_2001_6_21,Aubach,Auba,1,A2,21,6,2001,172,late,2,Ephemera danica,ED,2.4,NA,9.525
Auba_23_4_2001_ED,Auba_2001_4_23,Aubach,Auba,1,A1,23,4,2001,113,early,1,Ephemera danica,ED,4,NA,9.75
Auba_21_6_2001_HS,Auba_2001_6_21,Aubach,Auba,1,A2,21,6,2001,172,late,2,Hydropsyche siltalai,HS,14.4,NA,9.525
Auba_23_4_2001_HS,Auba_2001_4_23,Aubach,Auba,1,A1,23,4,2001,113,early,1,Hydropsyche siltalai,HS,19.2,NA,9.75
Auba_21_6_2001_PO,Auba_2001_6_21,Aubach,Auba,1,A2,21,6,2001,172,late,2,Prodiamesa olivacea,PO,NA,NA,9.525
Bieb_30_8_2001_BR,Bieb_2001_8_30,Bieber,Bieb,2,grob,30,8,2001,242,late,2,Baetis rhodani,BR,78.4,NA,10.14166667
Bieb_22_6_2001_HS,Bieb_2001_6_22,Bieber,Bieb,2,B1,22,6,2001,173,late,2,Hydropsyche siltalai,HS,14.4,NA,9.7
Bieb_30_8_2001_OV,Bieb_2001_8_30,Bieber,Bieb,2,fein,30,8,2001,242,late,2,Orectochilus villosus,OV,4,NA,10.14166667
Bieb_22_6_2001_PO,Bieb_2001_6_22,Bieber,Bieb,2,B1,22,6,2001,173,late,2,Prodiamesa olivacea,PO,NA,NA,9.7
Auba_14_6_2002_AF,Auba_2002_6_14,Aubach,Auba,1,Einzelexemplare,14,6,2002,165,late,2,Ancylus fluviatilis,AF,5.6,NA,9.808333333
Auba_14_6_2002_BR,Auba_2002_6_14,Aubach,Auba,1,grob,14,6,2002,165,late,2,Baetis rhodani,BR,73.6,NA,9.808333333
Auba_14_6_2002_HS,Auba_2002_6_14,Aubach,Auba,1,Grob,14,6,2002,165,late,2,Hydropsyche siltalai,HS,76.8,NA,9.808333333
Auba_14_6_2002_PO,Auba_2002_6_14,Aubach,Auba,1,,14,6,2002,165,late,2,Prodiamesa olivacea,PO,134.4,NA,9.808333333
Bieb_12_6_2002_BR,Bieb_2002_6_12,Bieber,Bieb,2,grob,12,6,2002,163,late,2,Baetis rhodani,BR,10.4,NA,10
Bieb_12_6_2002_ED,Bieb_2002_6_12,Bieber,Bieb,2,Einzelexemplare,12,6,2002,163,late,2,Ephemera danica,ED,10.4,NA,10
Bieb_12_6_2002_ED,Bieb_2002_6_12,Bieber,Bieb,2,Grob,12,6,2002,163,late,2,Ephemera danica,ED,10.4,NA,10
Bieb_12_6_2002_HS,Bieb_2002_6_12,Bieber,Bieb,2,Grob,12,6,2002,163,late,2,Hydropsyche siltalai,HS,19.2,NA,10
Bieb_12_6_2002_PO,Bieb_2002_6_12,Bieber,Bieb,2,Fein,12,6,2002,163,late,2,Prodiamesa olivacea,PO,NA,NA,10
Bieb_12_6_2002_PO,Bieb_2002_6_12,Bieber,Bieb,2,Grob,12,6,2002,163,late,2,Prodiamesa olivacea,PO,NA,NA,10
Auba_15_7_2003_AF,Auba_2003_7_15,Aubach oh Wiesenthal,Auba,1,grob-RIVPACS,15,7,2003,196,late,2,Ancylus fluviatilis,AF,9.6,NA,10.05
Auba_15_7_2003_AF,Auba_2003_7_15,Aubach oh Wiesenthal,Auba,1,grob-RIVPACS-extra,15,7,2003,196,late,2,Ancylus fluviatilis,AF,9.6,NA,10.05
Auba_15_7_2003_AF,Auba_2003_7_15,Aubach oh Wiesenthal,Auba,1,fein,15,7,2003,196,late,2,Ancylus fluviatilis,AF,9.6,NA,10.05
Auba_17_3_2003_AF,Auba_2003_3_17,Aubach,Auba,1,grob,17,3,2003,76,early,1,Ancylus fluviatilis,AF,28.8,NA,9.483333333
Auba_15_7_2003_BR,Auba_2003_7_15,Aubach oh.Wiesthal,Auba,1,fein,15,7,2003,196,late,2,Baetis rhodani,BR,24,NA,10.05
Auba_17_3_2003_BR,Auba_2003_3_17,Aubach oh.Wiesthal,Auba,1,grob,17,3,2003,76,early,1,Baetis rhodani,BR,140.8,NA,9.483333333
Auba_15_7_2003_ED,Auba_2003_7_15,Aubach,Auba,1,Restanteil_Grob,15,7,2003,196,late,2,Ephemera danica,ED,5.6,NA,10.05
Auba_15_7_2003_ED,Auba_2003_7_15,Aubach,Auba,1,Einzelexemplare,15,7,2003,196,late,2,Ephemera danica,ED,5.6,NA,10.05
Auba_17_3_2003_ED,Auba_2003_3_17,Aubach,Auba,1,Einzelexemplare,17,3,2003,76,early,1,Ephemera danica,ED,3.2,NA,9.483333333
Auba_17_3_2003_HS,Auba_2003_3_17,Aubach,Auba,1,Grob,17,3,2003,76,early,1,Hydropsyche siltalai,HS,262.4,NA,9.483333333
Auba_15_7_2003_PO,Auba_2003_7_15,Aubach,Auba,1,Grob,15,7,2003,196,late,2,Prodiamesa olivacea,PO,4.8,NA,10.05
Auba_15_7_2003_PO,Auba_2003_7_15,Aubach,Auba,1,Fein,15,7,2003,196,late,2,Prodiamesa olivacea,PO,4.8,NA,10.05
Auba_17_3_2003_PO,Auba_2003_3_17,Aubach,Auba,1,,17,3,2003,76,early,1,Prodiamesa olivacea,PO,NA,NA,9.483333333
Bieb_14_7_2003_BR,Bieb_2003_7_14,Bieber,Bieb,2,grob,14,7,2003,195,late,2,Baetis rhodani,BR,29.6,NA,10.20833333
Bieb_14_7_2003_BR,Bieb_2003_7_14,Bieber,Bieb,2,fein,14,7,2003,195,late,2,Baetis rhodani,BR,29.6,NA,10.20833333
Bieb_11_3_2003_HS,Bieb_2003_3_11,Bieber,Bieb,2,Grob,11,3,2003,70,early,1,Hydropsyche siltalai,HS,57.6,NA,9.658333333
Bieb_14_7_2003_HS,Bieb_2003_7_14,Bieber,Bieb,2,Grob,14,7,2003,195,late,2,Hydropsyche siltalai,HS,28.8,NA,10.20833333
Bieb_11_3_2003_OV,Bieb_2003_3_11,Bieber,Bieb,2,grob,11,3,2003,70,early,1,Orectochilus villosus,OV,32.91429,NA,9.658333333
Bieb_11_3_2003_PO,Bieb_2003_3_11,Bieber,Bieb,2,,11,3,2003,70,early,1,Prodiamesa olivacea,PO,NA,NA,9.658333333
Bieb_14_7_2003_PO,Bieb_2003_7_14,Bieber,Bieb,2,,14,7,2003,195,late,2,Prodiamesa olivacea,PO,24.8,NA,10.20833333
Auba_10_7_2004_BR,Auba_2004_7_10,Aubach oh.Wiesthal,Auba,1,grob,10,7,2004,192,late,2,Baetis rhodani,BR,38.4,NA,9.641666667
Auba_10_7_2004_ET,Auba_2004_7_10,Aubach,Auba,1,grob,10,7,2004,192,late,2,Eiseniella tetraedra,ET,0.8,NA,9.641666667
Auba_10_7_2004_ED,Auba_2004_7_10,Aubach,Auba,1,Grob,10,7,2004,192,late,2,Ephemera danica,ED,49.6,NA,9.641666667
Auba_10_7_2004_ED,Auba_2004_7_10,Aubach,Auba,1,Einzelexemplare,10,7,2004,192,late,2,Ephemera danica,ED,49.6,NA,9.641666667
Auba_10_7_2004_PO,Auba_2004_7_10,Aubach,Auba,1,Fein,10,7,2004,192,late,2,Prodiamesa olivacea,PO,28.8,NA,9.641666667
Auba_10_7_2004_PO,Auba_2004_7_10,Aubach,Auba,1,Grob,10,7,2004,192,late,2,Prodiamesa olivacea,PO,28.8,NA,9.641666667
Bieb_9_7_2004_AF,Bieb_2004_7_9,Bieber oh. Roﬂbach,Bieb,2,grob,9,7,2004,191,late,2,Ancylus fluviatilis,AF,NA,NA,9.833333333
Bieb_9_7_2004_BR,Bieb_2004_7_9,Bieber,Bieb,2,grob,9,7,2004,191,late,2,Baetis rhodani,BR,26.4,NA,9.833333333
Bieb_9_7_2004_ED,Bieb_2004_7_9,Bieber,Bieb,2,Einzelexemplare,9,7,2004,191,late,2,Ephemera danica,ED,5.6,NA,9.833333333
Bieb_9_7_2004_HS,Bieb_2004_7_9,Bieber,Bieb,2,Grob,9,7,2004,191,late,2,Hydropsyche siltalai,HS,14.4,NA,9.833333333
Bieb_9_7_2004_PO,Bieb_2004_7_9,Bieber,Bieb,2,Grob,9,7,2004,191,late,2,Prodiamesa olivacea,PO,374.4,NA,9.833333333
Auba_24_3_2005_AF,Auba_2005_3_24,Aubach oh Wiesenthal,Auba,1,grob,24,3,2005,83,early,1,Ancylus fluviatilis,AF,12.34286,NA,9.1
Auba_6_6_2005_AF,Auba_2005_6_6,Aubach oh Wiesenthal,Auba,1,grob,6,6,2005,157,late,2,Ancylus fluviatilis,AF,1.371429,NA,9.333333333
Auba_24_3_2005_BR,Auba_2005_3_24,Aubach oh.Wiesthal,Auba,1,grob,24,3,2005,83,early,1,Baetis rhodani,BR,58.4,NA,9.1
Auba_6_6_2005_BR,Auba_2005_6_6,Aubach oh.Wiesthal,Auba,1,grob,6,6,2005,157,late,2,Baetis rhodani,BR,32,NA,9.333333333
Auba_24_3_2005_ED,Auba_2005_3_24,Aubach,Auba,1,Grob,24,3,2005,83,early,1,Ephemera danica,ED,102.8571,NA,9.1
Auba_24_3_2005_HS,Auba_2005_3_24,Aubach,Auba,1,Grob,24,3,2005,83,early,1,Hydropsyche siltalai,HS,49.37143,NA,9.1
Auba_6_6_2005_HS,Auba_2005_6_6,Aubach,Auba,1,"Grob, extra",6,6,2005,157,late,2,Hydropsyche siltalai,HS,39.77143,NA,9.333333333
Auba_6_6_2005_HS,Auba_2005_6_6,Aubach,Auba,1,Grob,6,6,2005,157,late,2,Hydropsyche siltalai,HS,39.77143,NA,9.333333333
Auba_24_3_2005_PO,Auba_2005_3_24,Aubach,Auba,1,Grob,24,3,2005,73,early,1,Prodiamesa olivacea,PO,45.25714,NA,9.1
Auba_24_3_2005_PO,Auba_2005_3_24,Aubach,Auba,1,Fein,24,3,2005,73,early,1,Prodiamesa olivacea,PO,45.25714,NA,9.1
Auba_6_6_2005_PO,Auba_2005_6_6,Aubach,Auba,1,Grob,6,6,2005,157,late,2,Prodiamesa olivacea,PO,2.742857,NA,9.333333333
O3_22_3_2005_AF,O3_2005_3_22,KiO3/O3/Rothenbergen,O3,3,grob,22,3,2005,81,early,1,Ancylus fluviatilis,AF,0.8,NA,10.10833333
O3_22_3_2005_BR,O3_2005_3_22,KiO3/O3/Rothenbergen,O3,3,grob,22,3,2005,81,early,1,Baetis rhodani,BR,5.6,NA,10.10833333
O3_22_3_2005_ED,O3_2005_3_22,KiO3/O3/Rodenbauch,O3,3,Grob,22,3,2005,81,early,1,Ephemera danica,ED,0.8,NA,10.10833333
O3_22_3_2005_GR,O3_2005_3_22,KiO3/O3/Rothenbergen,O3,3,grob,22,3,2005,81,early,1,Gammarus roeselii,GR,33.6,NA,10.10833333
O3_22_3_2005_OV,O3_2005_3_22,KiO3/O3/Rothenbergen,O3,3,grob,22,3,2005,81,early,1,Orectochilus villosus,OV,4,NA,10.10833333
O3_22_3_2005_PO,O3_2005_3_22,KiO3/O3/Rodenbauch,O3,3,Fein,22,3,2005,81,early,1,Prodiamesa olivacea,PO,6.4,NA,10.10833333
O3_22_3_2005_PO,O3_2005_3_22,KiO3/O3/Rodenbauch,O3,3,Grob,22,3,2005,81,early,1,Prodiamesa olivacea,PO,6.4,NA,10.10833333
W1_22_3_2005_AA,W1_2005_3_22,KiW1/W1/Bulau,W1,4,Grob-Totholz,22,3,2005,81,early,1,Aphelocheirus aestivalis,AA,38.4,NA,10.25
W1_22_3_2005_BR,W1_2005_3_22,KiW1/W1/Bulau,W1,4,grob,22,3,2005,81,early,1,Baetis rhodani,BR,2.4,NA,10.25
W1_22_3_2005_ET,W1_2005_3_22,KiW1/W1/Bulau,W1,4,Einzelexemplar,22,3,2005,81,early,1,Eiseniella tetraedra,ET,4.8,NA,10.25
W1_22_3_2005_ED,W1_2005_3_22,KiW1/W1/Bulau,W1,4,Einzelexemplare,22,3,2005,81,early,1,Ephemera danica,ED,9.6,NA,10.25
W1_22_3_2005_ED,W1_2005_3_22,KiW1/W1/Bulau,W1,4,Grob,22,3,2005,81,early,1,Ephemera danica,ED,9.6,NA,10.25
W1_22_3_2005_GR,W1_2005_3_22,KiW1/W1/Bulau,W1,4,grob,22,3,2005,81,early,1,Gammarus roeselii,GR,24,NA,10.25
W1_22_3_2005_HS,W1_2005_3_22,KiW1/W1/Bulau,W1,4,Grob,22,3,2005,81,early,1,Hydropsyche siltalai,HS,1.6,NA,10.25
W1_22_3_2005_HS,W1_2005_3_22,KiW1/W1/Bulau,W1,4,Einzelexemplare,22,3,2005,81,early,1,Hydropsyche siltalai,HS,1.6,NA,10.25
W1_22_3_2005_OV,W1_2005_3_22,KiW1/W1/Bulau,W1,4,grob,22,3,2005,81,early,1,Orectochilus villosus,OV,1.6,NA,10.25
W1_22_3_2005_PO,W1_2005_3_22,KiW1/W1/Bulau,W1,4,Grob,22,3,2005,81,early,1,Prodiamesa olivacea,PO,4,NA,10.25
W1_22_3_2005_PO,W1_2005_3_22,KiW1/W1/Bulau,W1,4,Fein,22,3,2005,81,early,1,Prodiamesa olivacea,PO,4,NA,10.25
Auba_15_6_2006_AF,Auba_2006_6_15,Aubach oh Wiesenthal,Auba,1,grob,15,6,2006,166,late,2,Ancylus fluviatilis,AF,2.88,NA,8.991666667
Auba_10_4_2006_BR,Auba_2006_4_10,Aubach oh.Wiesthal,Auba,1,grob,10,4,2006,100,early,1,Baetis rhodani,BR,15.84,NA,8.958333333
Auba_15_6_2006_BR,Auba_2006_6_15,Aubach oh.Wiesthal,Auba,1,grob,15,6,2006,166,late,2,Baetis rhodani,BR,8.64,NA,8.991666667
Auba_10_4_2006_ED,Auba_2006_4_10,Aubach,Auba,1,Grob,10,4,2006,100,early,1,Ephemera danica,ED,15.36,NA,8.958333333
Auba_15_6_2006_ED,Auba_2006_6_15,Aubach,Auba,1,Grob,15,6,2006,166,late,2,Ephemera danica,ED,11.52,NA,8.991666667
Auba_10_4_2006_HS,Auba_2006_4_10,Aubach,Auba,1,Grob,10,4,2006,100,early,1,Hydropsyche siltalai,HS,28.8,NA,8.958333333
Auba_15_6_2006_HS,Auba_2006_6_15,Aubach,Auba,1,Einzelexemplare,15,6,2006,166,late,2,Hydropsyche siltalai,HS,44.8,NA,8.991666667
Auba_15_6_2006_HS,Auba_2006_6_15,Aubach,Auba,1,Grob,15,6,2006,166,late,2,Hydropsyche siltalai,HS,44.8,NA,8.991666667
Auba_10_4_2006_PO,Auba_2006_4_10,Aubach,Auba,1,Grob,10,4,2006,100,early,1,Prodiamesa olivacea,PO,24.96,NA,8.958333333
Bieb_13_7_2006_AF,Bieb_2006_7_13,Bieber oh. Roﬂbach,Bieb,2,grob,13,7,2006,194,late,2,Ancylus fluviatilis,AF,1.2,NA,9.516666667
Bieb_10_4_2006_BR,Bieb_2006_4_10,Bieber,Bieb,2,grob,10,4,2006,100,early,1,Baetis rhodani,BR,155.2,NA,9.175
Bieb_13_7_2006_BR,Bieb_2006_7_13,Bieber,Bieb,2,grob,13,7,2006,194,late,2,Baetis rhodani,BR,33.6,NA,9.516666667
Bieb_10_4_2006_ED,Bieb_2006_4_10,Bieber,Bieb,2,Grob,10,4,2006,100,early,1,Ephemera danica,ED,4.8,NA,9.175
Bieb_13_7_2006_HS,Bieb_2006_7_13,Bieber,Bieb,2,Grob,13,7,2006,194,late,2,Hydropsyche siltalai,HS,7.2,NA,9.516666667
Bieb_10_4_2006_OV,Bieb_2006_4_10,Bieber,Bieb,2,grob,10,4,2006,100,early,1,Orectochilus villosus,OV,24,NA,9.175
Bieb_10_4_2006_PO,Bieb_2006_4_10,Bieber,Bieb,2,Grob,10,4,2006,100,early,1,Prodiamesa olivacea,PO,NA,NA,9.175
Bieb_13_7_2006_PO,Bieb_2006_7_13,Bieber,Bieb,2,Grob,13,7,2006,194,late,2,Prodiamesa olivacea,PO,63.6,NA,9.516666667
O3_21_6_2006_AF,O3_2006_6_21,KiO3/O3/Rothenbergen,O3,3,grob,21,6,2006,172,late,2,Ancylus fluviatilis,AF,19.2,NA,9.933333333
O3_21_6_2006_AA,O3_2006_6_21,KiO3/O3/Rothenbergen,O3,3,Grob,21,6,2006,172,late,2,Aphelocheirus aestivalis,AA,141.6,NA,9.933333333
O3_21_6_2006_BR,O3_2006_6_21,KiO3/O3/Rothenbergen,O3,3,grob,21,6,2006,172,late,2,Baetis rhodani,BR,5.6,NA,9.933333333
O3_21_6_2006_ED,O3_2006_6_21,KiO3/O3/Rodenbauch,O3,3,Grob,21,6,2006,172,late,2,Ephemera danica,ED,15.2,NA,9.933333333
O3_21_6_2006_ED,O3_2006_6_21,KiO3/O3/Rodenbauch,O3,3,Einzelexemplare,21,6,2006,172,late,2,Ephemera danica,ED,15.2,NA,9.933333333
O3_21_6_2006_GR,O3_2006_6_21,KiO3/O3/Rothenbergen,O3,3,grob,21,6,2006,172,late,2,Gammarus roeselii,GR,206.4,NA,9.933333333
O3_21_6_2006_PO,O3_2006_6_21,KiO3/O3/Rodenbauch,O3,3,Grob,21,6,2006,172,late,2,Prodiamesa olivacea,PO,19.2,NA,9.933333333
W1_13_7_2006_AA,W1_2006_7_13,KiW1/W1/Bulau,W1,4,Grob,13,7,2006,194,late,2,Aphelocheirus aestivalis,AA,33.8087,NA,10.4
W1_21_6_2006_AA,W1_2006_6_21,KiW1/W1/Bulau,W1,4,Grob-Totholz,21,6,2006,172,late,2,Aphelocheirus aestivalis,AA,NA,NA,10.05833333
W1_13_7_2006_ED,W1_2006_7_13,KiW1/W1/Bulau,W1,4,Grob,13,7,2006,194,late,2,Ephemera danica,ED,35.86087,NA,10.4
W1_13_7_2006_ED,W1_2006_7_13,KiW1/W1/Bulau,W1,4,Einzelexemplare,13,7,2006,194,late,2,Ephemera danica,ED,35.86087,NA,10.4
W1_13_7_2006_GR,W1_2006_7_13,KiW1/W1/Bulau,W1,4,grob,13,7,2006,194,late,2,Gammarus roeselii,GR,12.06957,NA,10.4
W1_13_7_2006_PO,W1_2006_7_13,KiW1/W1/Bulau,W1,4,Grob,13,7,2006,194,late,2,Prodiamesa olivacea,PO,NA,NA,10.4
Auba_12_7_2007_BR,Auba_2007_7_12,Aubach oh.Wiesthal,Auba,1,grob,12,7,2007,193,late,2,Baetis rhodani,BR,30.8,NA,11.33333333
Auba_12_7_2007_ET,Auba_2007_7_12,Aubach,Auba,1,grob,12,7,2007,193,late,2,Eiseniella tetraedra,ET,3.6,NA,11.33333333
Auba_12_7_2007_ED,Auba_2007_7_12,Aubach,Auba,1,Grob,12,7,2007,193,late,2,Ephemera danica,ED,26.4,NA,11.33333333
Auba_12_7_2007_ED,Auba_2007_7_12,Aubach,Auba,1,Einzelexemplare,12,7,2007,193,late,2,Ephemera danica,ED,26.4,NA,11.33333333
Auba_12_7_2007_HS,Auba_2007_7_12,Aubach,Auba,1,Grob,12,7,2007,193,late,2,Hydropsyche siltalai,HS,3.6,NA,11.33333333
Auba_12_7_2007_PO,Auba_2007_7_12,Aubach,Auba,1,Grob,12,7,2007,193,late,2,Prodiamesa olivacea,PO,4.8,NA,11.33333333
Bieb_12_7_2007_BR,Bieb_2007_7_12,Bieber,Bieb,2,grob,12,7,2007,193,late,2,Baetis rhodani,BR,14.4,NA,11.54166667
Bieb_12_7_2007_HS,Bieb_2007_7_12,Bieber,Bieb,2,Grob,12,7,2007,193,late,2,Hydropsyche siltalai,HS,3.2,NA,11.54166667
Bieb_12_7_2007_PO,Bieb_2007_7_12,Bieber,Bieb,2,Grob,12,7,2007,193,late,2,Prodiamesa olivacea,PO,8.8,NA,11.54166667
