sample,site,yr,mo,day,DOY,taxa,ID_Art,Abundance_per_m2,spp_cm,spp_mm,b,a,log10(a),unit,dry_mass_original,dry_mass_mg,Yryly_Temp_old,Yryly_Temp
Auba_2017_3_16,Auba,2017,3,16,75,Oreodytes sanmarkii,18616,0.380952,0.375,3.75,2.501,0.0618,NA,mg,1.685158191,1.685158191,8.800749868,9.85
Auba_2018_6_15,Auba,2018,6,15,166,Hydraena minutissima,18091,0.761905,0.3125,3.125,2.91,0.0077,NA,mg,0.212082233,0.212082233,10.19572503,10.325
Auba_2001_9_4,Auba,2001,9,4,247,Hydraena dentipes,18048,0.8,0.3125,3.125,2.91,0.0077,NA,mg,0.212082233,0.212082233,NA,9.75
Auba_2002_6_14,Auba,2002,6,14,165,Hydraena sp.,18130,0.8,0.3125,3.125,2.91,0.0077,NA,mg,0.212082233,0.212082233,NA,9.808333333
Auba_2009_6_23,Auba,2009,6,23,174,Hydraena gracilis,18064,0.8,0.3125,3.125,2.91,0.0077,NA,mg,0.212082233,0.212082233,NA,9.175
Auba_2013_3_20,Auba,2013,3,20,79,Hydraena sp.,18130,0.8,0.3125,3.125,2.91,0.0077,NA,mg,0.212082233,0.212082233,9.511455665,9.041666667
Auba_2019_7_5,Auba,2019,7,5,186,Hydraena sp.,18130,0.8,0.3125,3.125,2.91,0.0077,NA,mg,0.212082233,0.212082233,10.17502652,10.84166667
Auba_2009_4_8,Auba,2009,4,8,98,Oreodytes sanmarkii,18616,0.761905,0.375,3.75,2.501,0.0618,NA,mg,1.685158191,1.685158191,NA,9.5
Auba_2002_6_14,Auba,2002,6,14,165,Oreodytes sanmarkii,18616,0.8,0.375,3.75,2.501,0.0618,NA,mg,1.685158191,1.685158191,NA,9.808333333
Auba_2007_3_11,Auba,2007,3,11,70,Oreodytes sanmarkii,18616,0.8,0.375,3.75,2.501,0.0618,NA,mg,1.685158191,1.685158191,NA,11.24166667
Auba_2010_6_29,Auba,2010,6,29,180,Oreodytes sanmarkii,18616,0.8,0.375,3.75,2.501,0.0618,NA,mg,1.685158191,1.685158191,NA,9.141666667
Auba_2011_3_24,Auba,2011,3,24,83,Oreodytes sanmarkii,18616,0.8,0.375,3.75,2.501,0.0618,NA,mg,1.685158191,1.685158191,NA,8.966666667
Auba_2016_6_21,Auba,2016,6,21,173,Esolus parallelepipedus,17820,0.8,0.375,3.75,2.879,0.0074,NA,mg,0.33255826,0.33255826,10.39995402,10.54166667
Auba_2018_3_7,Auba,2018,3,7,66,Oreodytes sanmarkii,18616,0.8,0.375,3.75,2.501,0.0618,NA,mg,1.685158191,1.685158191,9.961518032,9.741666667
Auba_2019_7_5,Auba,2019,7,5,186,Anacaena lutescens,17505,0.8,0.375,3.75,2.91,0.0077,NA,mg,0.360513651,0.360513651,10.17502652,10.84166667
Auba_2010_6_29,Auba,2010,6,29,180,Hydraena sp.,18130,1.066667,0.3125,3.125,2.91,0.0077,NA,mg,0.212082233,0.212082233,NA,9.141666667
Auba_2008_4_23,Auba,2008,4,23,114,Oreodytes sanmarkii,18616,0.914286,0.375,3.75,2.501,0.0618,NA,mg,1.685158191,1.685158191,NA,9.475
Auba_2017_3_16,Auba,2017,3,16,75,Silo sp.,6836,0.380952,0.9375,9.375,2.839,0.0056,NA,mg,3.218210746,3.218210746,8.800749868,9.85
Auba_2005_6_6,Auba,2005,6,6,157,Hydraena gracilis,18064,1.371429,0.3125,3.125,2.91,0.0077,NA,mg,0.212082233,0.212082233,NA,9.333333333
Auba_2009_6_23,Auba,2009,6,23,174,Hydraena sp.,18130,1.6,0.3125,3.125,2.91,0.0077,NA,mg,0.212082233,0.212082233,NA,9.175
Auba_2009_4_8,Auba,2009,4,8,98,Nemoura sp.,6108,0.761905,0.65625,6.5625,2.762,0.0056,NA,mg,1.011424522,1.011424522,NA,9.5
Auba_2017_3_16,Auba,2017,3,16,75,Nemoura sp.,6108,0.761905,0.65625,6.5625,2.762,0.0056,NA,mg,1.011424522,1.011424522,8.800749868,9.85
Auba_2001_6_21,Auba,2001,6,21,172,Amphinemura sp.,4293,0.8,0.65625,6.5625,2.762,0.0056,NA,mg,1.011424522,1.011424522,NA,9.525
Auba_2001_6_21,Auba,2001,6,21,172,Limnius volckmari,18421,0.8,0.65625,6.5625,2.879,0.0074,NA,mg,1.66561369,1.66561369,NA,9.525
Auba_2001_6_21,Auba,2001,6,21,172,Psychomyia pusilla,6661,0.8,0.65625,6.5625,2.873,0.0039,NA,mg,0.867970077,0.867970077,NA,9.525
Auba_2001_9_4,Auba,2001,9,4,247,Psychomyia pusilla,6661,0.8,0.65625,6.5625,2.873,0.0039,NA,mg,0.867970077,0.867970077,NA,9.75
Auba_2007_3_11,Auba,2007,3,11,70,Beraeodes minutus,4444,0.8,0.65625,6.5625,2.839,0.0056,NA,mg,1.169089652,1.169089652,NA,11.24166667
Auba_2009_6_23,Auba,2009,6,23,174,Micrasema longulum,5983,0.8,0.65625,6.5625,2.818,0.0083,NA,mg,1.66563342,1.66563342,NA,9.175
Auba_2009_6_23,Auba,2009,6,23,174,Micrasema minimum,5984,0.8,0.65625,6.5625,2.818,0.0083,NA,mg,1.66563342,1.66563342,NA,9.175
Auba_2009_6_23,Auba,2009,6,23,174,Psychomyia pusilla,6661,0.8,0.65625,6.5625,2.873,0.0039,NA,mg,0.867970077,0.867970077,NA,9.175
Auba_2010_3_16,Auba,2010,3,16,75,Limnius perrisi,18418,0.8,0.65625,6.5625,2.879,0.0074,NA,mg,1.66561369,1.66561369,NA,9.533333333
Auba_2018_3_7,Auba,2018,3,7,66,Nemoura sp.,6108,0.8,0.65625,6.5625,2.762,0.0056,NA,mg,1.011424522,1.011424522,9.961518032,9.741666667
Auba_2008_6_23,Auba,2008,6,23,175,Dixa sp.,4989,0.761905,0.75,7.5,2.692,0.0025,NA,mg,0.567028555,0.567028555,NA,9.55
Auba_2001_6_21,Auba,2001,6,21,172,Adicella reducta,4212,0.8,0.75,7.5,3.212,0.0034,NA,mg,2.198749203,2.198749203,NA,9.525
