fwe.lower,aqem.code,gen,sp,streamzone_euc,streamzone_hyc,streamzone_erh,streamzone_mrh,streamzone_hrh,streamzone_epo,streamzone_mpo,streamzone_hpo,streamzone_lit,streamzone_pro,tachlong_cr,tachlong_er,tachlong_mr,tachlong_hr,tachlong_ep,tachlong_mp,tachlong_est,tachlong_out,tachtrans_rich,tachtrans_bcsa,tachtrans_ppdsa,tachtrans_mapb,tachtrans_tmpw,tachtrans_lake,tachtrans_gw,tachalt_low,tachalt_pie,tachalt_alt,tachsub_fbcp,tachsub_grvl,tachsub_sand,tachsub_silt,tachsub_macp,tachsub_micp,tachsub_twro,tachsub_odli,tachsub_mud,currpref_lib,currpref_lip,currpref_lrp,currpref_rlp,currpref_rhp,currpref_rhb,currpref_ind,tachcurr_null,tachcurr_slow,tachcurr_medium,tachcurr_fast,tachtemp_psy,tachtemp_the,tachtemp_eut,tachph_less4,tachph_4to4.5,tachph_4.5to5,tachph_5to5.5,tachph_5.5to6,tachph_gre6,tachsal_frw,tachsal_brw,tachsap_x,tachsap_o,tachsap_b,tachsap_a,tachsap_p,tachtroph_oli,tachtroph_meso,tachtroph_eu,feedingtype_gra,feedingtype_min,feedingtype_xyl,feedingtype_shr,feedingtype_gat,feedingtype_aff,feedingtype_pff,feedingtype_pre,feedingtype_par,feedingtype_oth,tachfood_mior,tachfood_detl1,tachfood_dpg1,tachfood_limi,tachfood_lima,tachfood_dag1,tachfood_lmic,tachfood_lmac,tachfood_vert,tachfeed_abs,tachfeed_dpf,tachfeed_shr,tachfeed_scr,tachfeed_fif,tachfeed_pie,tachfeed_pre,tachfeed_par,locotype_sws,locotype_swd,locotype_bub,locotype_spw,locotype_ses,locotype_oth,tachloco_flr,tachloco_ssw,tachloco_wsw,tachloco_crw,tachloco_bur,tachloco_int,tachloco_tat,tachloco_pat,tachrespir_teg,tachrespir_gil,tachrespir_pls,tachrespir_spi,tachrespir_ves,tachsize_less0.25,tachsize_0.25to0.5,tachsize_0.5to1,tachsize_1to2,tachsize_2to4,tachsize_4to8,tachsize_gre8,tachresis_egg,tachresis_coc,tachresis_hou,tachresis_did,tachresis_non,tachdisp_aquapass,tachdisp_aquaact,tachdisp_aerpass,tachdisp_aeract,tachaqua_egg,tachaqua_larva,tachaqua_nymph,tachaqua_adult,tachlong_less1,tachlong_gre1,tachcycle_less1,tachcycle_one,tachcycle_gre1,tachrepro_ovo,tachrepro_fie,tachrepro_cie,tachrepro_fic,tachrepro_frc,tachrepro_vec,tachrepro_tec,tachrepro_ase
Anabolia nervosa,4300,Anabolia,nervosa,0,0,0,0,0,3,3,0,4,0,1,3,5,3,2,1,0,4,0,2,3,0,1,3,0,3,0,0,3,0,2,0,5,0,0,1,0,0,1,0,0,0,0,0,1,3,2,0,1.75,0,0,0,0,1,1,2,3,3,1,0,1,3,1,0,2,3,1,2,0,0,5,1,0,0,2,0,0,0,1,3,3,3,0,0,1,0,0,1,3,2,0,0,1,0,0,0,0,10,0,0,0,0,0,5,0,0,0,0,2,3,0,0,0,0,0,0,2,3,0,0,0,0,0,3,1,3,2,0,3,3,3,3,0,3,0,0,3,0,0,0,0,3,0,0,0,0
Anodonta anatina,7381,Anodonta,anatina,0,0,0,1,2,2,2,0,3,0,0,0,1,2,4,4,0,1,0,1,2,0,0,1,0,3,0,0,0,2,5,4,2,0,0,0,4,0,0,0,1,0,0,0,3,3,0,0,0,1,0,0,0,0,0,1,3,3,1,0,1,2,2,0,1,2,1,0,0,0,0,0,10,0,0,0,0,0,0,3,3,2,0,3,0,3,0,0,0,0,3,3,0,3,0,0,3,2,5,0,0,0,0,0,3,0,1,0,1,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,1,2,0,3,3,0,3,0,3,0,3,0,3,0,0,0,0,0,0,0
Atherix ibis,4363,Atherix,ibis,0,0,0,2,3,3,2,0,0,0,1,2,2,2,1,0,0,1,1,2,0,0,0,1,0,1,1,1,4,2,0,0,4,0,1,1,1,0,0,0,0,1,0,0,0,2,3,0,NA,NA,NA,0,0,0,0,1,3,3,0,1,2,3,1,0,3,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,NA,NA,NA,NA,NA,NA,0,0,0,5,0,2,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,1,0,1,0,3,0,0,3,1,1,3,0,0,0,0,0,0,0,3,0
Athripsodes bilineatus ssp.,21232,Athripsodes,bilineatus ssp.,0,0,0,2,6,2,0,0,0,0,0,1,2,3,4,3,1,1,0,4,2,0,0,3,0,3,0,0,4,2,1,1,2,0,3,1,1,0,0,0,1,0,0,0,1,3,1,0,1,0,0,0,0,2,3,3,3,3,1,0,1,3,1,0,1,3,0,0,0,0,5,3,0,0,2,0,0,0,0,0,1,4,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,10,0,0,0,0,0,5,0,0,0,0,2,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,2,1,1,3,3,3,3,0,3,0,0,3,0,0,0,0,3,0,0,0,0
Athripsodes albifrons,4366,Athripsodes,albifrons,0,0,0,2,6,2,0,0,0,0,0,1,2,3,4,3,1,1,0,4,2,0,0,3,0,3,0,0,4,2,1,1,2,0,3,1,1,0,0,0,1,0,0,0,1,3,1,0,1,0,0,0,0,2,3,3,3,3,1,0,1,3,1,0,1,3,0,0,0,0,5,3,0,0,2,0,0,0,0,0,1,4,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,10,0,0,0,0,0,5,0,0,0,0,2,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,2,1,1,3,3,3,3,0,3,0,0,3,0,0,0,0,3,0,0,0,0
Athripsodes cinereus,4369,Athripsodes,cinereus,0,0,0,0,3,3,0,0,3,1,0,1,2,3,4,3,1,1,0,4,2,0,0,3,0,3,0,0,4,2,1,1,2,0,3,1,1,0,0,1,0,0,0,0,1,3,1,0,1,0,0,0,0,2,3,3,3,3,1,0,1,3,1,0,1,3,0,0,0,0,3,3,0,0,4,0,0,0,0,0,1,4,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,10,0,0,0,0,0,5,0,0,0,0,2,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,2,1,1,3,3,3,3,0,3,0,0,3,0,0,0,0,3,0,0,0,0
Baetis alpinus,4381,Baetis,alpinus,0,2,4,3,1,0,0,0,0,0,3,4,4,4,3,2,0,1,4,3,0,0,1,1,0,3,2,1,4,2,1,0,5,0,3,1,0,0,0,0,0,1,0,0,0,2,3,2,0,1,0,1,1,1,2,3,3,3,1,1,2,3,1,0,3,3,3,5,0,0,0,5,0,0,0,0,0,0,2,2,5,1,1,0,0,0,0,1,0,3,0,0,0,0,0,6,0,4,0,0,0,0,3,4,0,1,0,0,1,2,0,0,0,0,0,3,1,0,0,0,2,0,0,0,2,3,2,1,3,3,3,0,0,3,0,0,2,3,0,0,1,3,0,0,0,0
Baetis muticus,4409,Baetis,muticus,0,1,2,2,2,2,1,0,0,0,3,4,4,4,3,2,0,1,4,3,0,0,1,1,0,3,2,1,4,2,1,0,5,0,3,1,0,0,0,0,1,0,0,0,0,2,3,2,0,1,0,1,1,1,2,3,3,3,1,1,2,3,1,0,3,3,3,5,0,0,0,5,0,0,0,0,0,0,2,2,5,1,1,0,0,0,0,1,0,3,0,0,0,0,0,0,5,5,0,0,0,0,3,4,0,1,0,0,1,2,0,0,0,0,0,3,1,0,0,0,2,0,0,0,2,3,2,1,3,3,3,0,0,3,0,0,2,3,0,0,1,3,0,0,0,0
Baetis rhodani,4415,Baetis,rhodani,0,1,2,3,2,1,1,0,0,0,3,4,4,4,3,2,0,1,4,3,0,0,1,1,0,3,2,1,4,2,1,0,5,0,3,1,0,0,0,0,0,1,0,0,0,2,3,2,0,1,0,1,1,1,2,3,3,3,1,1,2,3,1,0,3,3,3,5,0,0,0,5,0,0,0,0,0,0,2,2,5,1,1,0,0,0,0,1,0,3,0,0,0,0,0,6,0,4,0,0,0,0,3,4,0,1,0,0,1,2,0,0,0,0,0,3,1,0,0,0,2,0,0,0,2,3,2,1,3,3,3,0,0,3,0,0,2,3,0,0,1,3,0,0,0,0
Baetis fuscatus/scambus,4398,Baetis,fuscatus/scambus,0,1,1,2,2,2,1,0,1,0,3,4,4,4,3,2,0,1,4,3,0,0,1,1,0,3,2,1,4,2,1,0,5,0,3,1,0,0,0,0,1,0,0,0,0,2,3,2,0,1,0,1,1,1,2,3,3,3,1,1,2,3,1,0,3,3,3,5,0,0,0,5,0,0,0,0,0,0,2,2,5,1,1,0,0,0,0,1,0,3,0,0,0,0,0,6,0,4,0,0,0,0,3,4,0,1,0,0,1,2,0,0,0,0,0,3,1,0,0,0,2,0,0,0,2,3,2,1,3,3,3,0,0,3,0,0,2,3,0,0,1,3,0,0,0,0
