"Sample","Site","Date","Day","Month","Year","Date_new","Yryly_Temp","Num_Months"
"Auba_2001_4_23","Auba","4/23/2001",23,4,2001,2001-04-23,9.75000000000004,12
"Auba_2001_6_21","Auba","6/21/2001",21,6,2001,2001-06-21,9.52500000000003,12
"Auba_2001_9_4","Auba","9/4/2001",4,9,2001,2001-09-04,9.75000000000003,12
"Auba_2002_6_14","Auba","6/14/2002",14,6,2002,2002-06-14,9.80833333333337,12
"Auba_2003_3_17","Auba","3/17/2003",17,3,2003,2003-03-17,9.48333333333337,12
"Auba_2003_7_15","Auba","7/15/2003",15,7,2003,2003-07-15,10.05,12
"Auba_2004_4_6","Auba","4/6/2004",6,4,2004,2004-04-06,10.525,12
"Auba_2004_7_10","Auba","7/10/2004",10,7,2004,2004-07-10,9.64166666666669,12
"Auba_2005_3_24","Auba","3/24/2005",24,3,2005,2005-03-24,9.10000000000003,12
"Auba_2005_6_6","Auba","6/6/2005",6,6,2005,2005-06-06,9.33333333333337,12
"Auba_2006_4_10","Auba","4/10/2006",10,4,2006,2006-04-10,8.95833333333337,12
"Auba_2006_6_15","Auba","6/15/2006",15,6,2006,2006-06-15,8.9916666666667,12
"Auba_2007_3_11","Auba","3/11/2007",11,3,2007,2007-03-11,11.2416666666667,12
"Auba_2007_7_12","Auba","7/12/2007",12,7,2007,2007-07-12,11.3333333333334,12
"Auba_2008_4_23","Auba","4/23/2008",23,4,2008,2008-04-23,9.47500000000003,12
"Auba_2008_6_23","Auba","6/23/2008",23,6,2008,2008-06-23,9.55000000000003,12
"Auba_2009_4_8","Auba","4/8/2009",8,4,2009,2009-04-08,9.50000000000003,12
"Auba_2009_6_23","Auba","6/23/2009",23,6,2009,2009-06-23,9.17500000000003,12
"Auba_2010_3_16","Auba","3/16/2010",16,3,2010,2010-03-16,9.53333333333337,12
"Auba_2010_6_29","Auba","6/29/2010",29,6,2010,2010-06-29,9.1416666666667,12
"Auba_2011_3_24","Auba","3/24/2011",24,3,2011,2011-03-24,8.9666666666667,12
"Auba_2011_7_25","Auba","7/25/2011",25,7,2011,2011-07-25,9.13333333333337,12
"Auba_2012_3_19","Auba","3/19/2012",19,3,2012,2012-03-19,10.0083333333334,12
"Auba_2012_6_21","Auba","6/21/2012",21,6,2012,2012-06-21,9.63333333333338,12
"Auba_2013_3_20","Auba","3/20/2013",20,3,2013,2013-03-20,9.04166666666671,12
"Auba_2013_6_17","Auba","6/17/2013",17,6,2013,2013-06-17,8.80000000000004,12
"Auba_2014_3_11","Auba","3/11/2014",11,3,2014,2014-03-11,10.3416666666667,12
"Auba_2014_6_17","Auba","6/17/2014",17,6,2014,2014-06-17,10.6916666666667,12
"Auba_2015_3_10","Auba","3/10/2015",10,3,2015,2015-03-10,10.1666666666667,12
"Auba_2015_6_16","Auba","6/16/2015",16,6,2015,2015-06-16,10.025,12
"Auba_2016_4_11","Auba","4/11/2016",11,4,2016,2016-04-11,10.475,12
"Auba_2016_6_21","Auba","6/21/2016",21,6,2016,2016-06-21,10.5416666666667,12
"Auba_2017_3_16","Auba","3/16/2017",16,3,2017,2017-03-16,9.85000000000003,12
