code,Year,Month,Day,Hour,Temp
2011_3_25_0,2011,3,25,0,7.481
2011_3_25_1,2011,3,25,1,NA
2011_3_25_2,2011,3,25,2,6.877
2011_3_25_3,2011,3,25,3,NA
2011_3_25_4,2011,3,25,4,6.471
2011_3_25_5,2011,3,25,5,NA
2011_3_25_6,2011,3,25,6,5.962
2011_3_25_7,2011,3,25,7,NA
2011_3_25_8,2011,3,25,8,5.86
2011_3_25_9,2011,3,25,9,NA
2011_3_25_10,2011,3,25,10,6.978
2011_3_25_11,2011,3,25,11,NA
2011_3_25_12,2011,3,25,12,9.077
2011_3_25_13,2011,3,25,13,NA
2011_3_25_14,2011,3,25,14,10.748
2011_3_25_15,2011,3,25,15,NA
2011_3_25_16,2011,3,25,16,11.139
2011_3_25_17,2011,3,25,17,NA
2011_3_25_18,2011,3,25,18,10.651
2011_3_25_19,2011,3,25,19,NA
2011_3_25_20,2011,3,25,20,9.571
2011_3_25_21,2011,3,25,21,NA
2011_3_25_22,2011,3,25,22,8.779
2011_3_25_23,2011,3,25,23,NA
2011_3_26_0,2011,3,26,0,8.182
2011_3_26_1,2011,3,26,1,NA
2011_3_26_2,2011,3,26,2,7.582
2011_3_26_3,2011,3,26,3,NA
2011_3_26_4,2011,3,26,4,6.978
2011_3_26_5,2011,3,26,5,NA
2011_3_26_6,2011,3,26,6,6.674
2011_3_26_7,2011,3,26,7,NA
2011_3_26_8,2011,3,26,8,6.877
2011_3_26_9,2011,3,26,9,NA
2011_3_26_10,2011,3,26,10,7.481
2011_3_26_11,2011,3,26,11,NA
2011_3_26_12,2011,3,26,12,8.581
2011_3_26_13,2011,3,26,13,NA
2011_3_26_14,2011,3,26,14,9.472
2011_3_26_15,2011,3,26,15,NA
2011_3_26_16,2011,3,26,16,9.571
2011_3_26_17,2011,3,26,17,NA
2011_3_26_18,2011,3,26,18,9.176
2011_3_26_19,2011,3,26,19,NA
2011_3_26_20,2011,3,26,20,8.481
2011_3_26_21,2011,3,26,21,NA
2011_3_26_22,2011,3,26,22,7.882
2011_3_26_23,2011,3,26,23,NA
2011_3_27_0,2011,3,27,0,7.582
2011_3_27_1,2011,3,27,1,NA
2011_3_27_2,2011,3,27,2,7.381
2011_3_27_3,2011,3,27,3,NA
2011_3_27_4,2011,3,27,4,7.079
2011_3_27_5,2011,3,27,5,NA
2011_3_27_6,2011,3,27,6,6.877
2011_3_27_7,2011,3,27,7,NA
2011_3_27_8,2011,3,27,8,6.978
2011_3_27_9,2011,3,27,9,NA
2011_3_27_10,2011,3,27,10,7.582
2011_3_27_11,2011,3,27,11,NA
2011_3_27_12,2011,3,27,12,8.282
2011_3_27_13,2011,3,27,13,NA
2011_3_27_14,2011,3,27,14,9.472
2011_3_27_15,2011,3,27,15,NA
2011_3_27_16,2011,3,27,16,10.259
2011_3_27_17,2011,3,27,17,NA
2011_3_27_18,2011,3,27,18,9.866
2011_3_27_19,2011,3,27,19,NA
2011_3_27_20,2011,3,27,20,8.68
2011_3_27_21,2011,3,27,21,NA
2011_3_27_22,2011,3,27,22,7.682
2011_3_27_23,2011,3,27,23,NA
2011_3_28_0,2011,3,28,0,6.978
2011_3_28_1,2011,3,28,1,NA
2011_3_28_2,2011,3,28,2,6.471
2011_3_28_3,2011,3,28,3,NA
2011_3_28_4,2011,3,28,4,6.268
2011_3_28_5,2011,3,28,5,NA
2011_3_28_6,2011,3,28,6,6.268
2011_3_28_7,2011,3,28,7,NA
2011_3_28_8,2011,3,28,8,6.471
2011_3_28_9,2011,3,28,9,NA
2011_3_28_10,2011,3,28,10,7.481
2011_3_28_11,2011,3,28,11,NA
2011_3_28_12,2011,3,28,12,9.176
2011_3_28_13,2011,3,28,13,NA
2011_3_28_14,2011,3,28,14,10.651
2011_3_28_15,2011,3,28,15,NA
2011_3_28_16,2011,3,28,16,11.041
2011_3_28_17,2011,3,28,17,NA
2011_3_28_18,2011,3,28,18,10.259
2011_3_28_19,2011,3,28,19,NA
2011_3_28_20,2011,3,28,20,8.978
2011_3_28_21,2011,3,28,21,NA
2011_3_28_22,2011,3,28,22,7.882
2011_3_28_23,2011,3,28,23,NA
2011_3_29_0,2011,3,29,0,6.978
2011_3_29_1,2011,3,29,1,NA
2011_3_29_2,2011,3,29,2,6.268
2011_3_29_3,2011,3,29,3,NA
2011_3_29_4,2011,3,29,4,5.757
2011_3_29_5,2011,3,29,5,NA
2011_3_29_6,2011,3,29,6,5.244
2011_3_29_7,2011,3,29,7,NA
2011_3_29_8,2011,3,29,8,5.244
2011_3_29_9,2011,3,29,9,NA
2011_3_29_10,2011,3,29,10,6.37
2011_3_29_11,2011,3,29,11,NA
2011_3_29_12,2011,3,29,12,8.68
2011_3_29_13,2011,3,29,13,NA
2011_3_29_14,2011,3,29,14,10.455
2011_3_29_15,2011,3,29,15,NA
2011_3_29_16,2011,3,29,16,11.041
2011_3_29_17,2011,3,29,17,NA
2011_3_29_18,2011,3,29,18,10.455
2011_3_29_19,2011,3,29,19,NA
2011_3_29_20,2011,3,29,20,9.176
2011_3_29_21,2011,3,29,21,NA
2011_3_29_22,2011,3,29,22,8.082
2011_3_29_23,2011,3,29,23,NA
2011_3_30_0,2011,3,30,0,7.28
2011_3_30_1,2011,3,30,1,NA
2011_3_30_2,2011,3,30,2,6.674
2011_3_30_3,2011,3,30,3,NA
2011_3_30_4,2011,3,30,4,6.268
2011_3_30_5,2011,3,30,5,NA
2011_3_30_6,2011,3,30,6,5.757
2011_3_30_7,2011,3,30,7,NA
2011_3_30_8,2011,3,30,8,5.757
2011_3_30_9,2011,3,30,9,NA
2011_3_30_10,2011,3,30,10,7.079
2011_3_30_11,2011,3,30,11,NA
2011_3_30_12,2011,3,30,12,9.373
2011_3_30_13,2011,3,30,13,NA
2011_3_30_14,2011,3,30,14,10.161
2011_3_30_15,2011,3,30,15,NA
2011_3_30_16,2011,3,30,16,10.748
2011_3_30_17,2011,3,30,17,NA
2011_3_30_18,2011,3,30,18,10.455
2011_3_30_19,2011,3,30,19,NA
2011_3_30_20,2011,3,30,20,9.768
2011_3_30_21,2011,3,30,21,NA
2011_3_30_22,2011,3,30,22,9.275
2011_3_30_23,2011,3,30,23,NA
2011_3_31_0,2011,3,31,0,8.779
2011_3_31_1,2011,3,31,1,NA
2011_3_31_2,2011,3,31,2,8.481
2011_3_31_3,2011,3,31,3,NA
2011_3_31_4,2011,3,31,4,8.481
2011_3_31_5,2011,3,31,5,NA
2011_3_31_6,2011,3,31,6,8.481
2011_3_31_7,2011,3,31,7,NA
2011_3_31_8,2011,3,31,8,8.581
2011_3_31_9,2011,3,31,9,NA
2011_3_31_10,2011,3,31,10,8.978
2011_3_31_11,2011,3,31,11,NA
2011_3_31_12,2011,3,31,12,9.768
2011_3_31_13,2011,3,31,13,NA
2011_3_31_14,2011,3,31,14,9.965
2011_3_31_15,2011,3,31,15,NA
2011_3_31_16,2011,3,31,16,9.866
2011_3_31_17,2011,3,31,17,NA
2011_3_31_18,2011,3,31,18,9.768
2011_3_31_19,2011,3,31,19,NA
2011_3_31_20,2011,3,31,20,9.669
2011_3_31_21,2011,3,31,21,NA
2011_3_31_22,2011,3,31,22,9.571
2011_3_31_23,2011,3,31,23,NA
2011_4_1_0,2011,4,1,0,9.669
2011_4_1_1,2011,4,1,1,NA
2011_4_1_2,2011,4,1,2,9.669
2011_4_1_3,2011,4,1,3,NA
2011_4_1_4,2011,4,1,4,9.571
2011_4_1_5,2011,4,1,5,NA
2011_4_1_6,2011,4,1,6,9.571
2011_4_1_7,2011,4,1,7,NA
2011_4_1_8,2011,4,1,8,9.669
2011_4_1_9,2011,4,1,9,NA
2011_4_1_10,2011,4,1,10,10.357
2011_4_1_11,2011,4,1,11,NA
2011_4_1_12,2011,4,1,12,11.722
2011_4_1_13,2011,4,1,13,NA
2011_4_1_14,2011,4,1,14,11.819
2011_4_1_15,2011,4,1,15,NA
2011_4_1_16,2011,4,1,16,11.916
2011_4_1_17,2011,4,1,17,NA
2011_4_1_18,2011,4,1,18,11.722
2011_4_1_19,2011,4,1,19,NA
2011_4_1_20,2011,4,1,20,11.041
2011_4_1_21,2011,4,1,21,NA
2011_4_1_22,2011,4,1,22,10.259
2011_4_1_23,2011,4,1,23,NA
2011_4_2_0,2011,4,2,0,9.571
2011_4_2_1,2011,4,2,1,NA
2011_4_2_2,2011,4,2,2,8.978
2011_4_2_3,2011,4,2,3,NA
2011_4_2_4,2011,4,2,4,8.481
2011_4_2_5,2011,4,2,5,NA
2011_4_2_6,2011,4,2,6,8.082
2011_4_2_7,2011,4,2,7,NA
2011_4_2_8,2011,4,2,8,8.182
2011_4_2_9,2011,4,2,9,NA
2011_4_2_10,2011,4,2,10,9.373
2011_4_2_11,2011,4,2,11,NA
2011_4_2_12,2011,4,2,12,11.916
2011_4_2_13,2011,4,2,13,NA
2011_4_2_14,2011,4,2,14,13.942
2011_4_2_15,2011,4,2,15,NA
2011_4_2_16,2011,4,2,16,14.517
2011_4_2_17,2011,4,2,17,NA
2011_4_2_18,2011,4,2,18,13.75
2011_4_2_19,2011,4,2,19,NA
2011_4_2_20,2011,4,2,20,12.401
2011_4_2_21,2011,4,2,21,NA
2011_4_2_22,2011,4,2,22,11.334
2011_4_2_23,2011,4,2,23,NA
2011_4_3_0,2011,4,3,0,10.455
2011_4_3_1,2011,4,3,1,NA
2011_4_3_2,2011,4,3,2,9.866
2011_4_3_3,2011,4,3,3,NA
2011_4_3_4,2011,4,3,4,9.373
2011_4_3_5,2011,4,3,5,NA
2011_4_3_6,2011,4,3,6,8.879
2011_4_3_7,2011,4,3,7,NA
2011_4_3_8,2011,4,3,8,9.077
2011_4_3_9,2011,4,3,9,NA
2011_4_3_10,2011,4,3,10,10.357
2011_4_3_11,2011,4,3,11,NA
2011_4_3_12,2011,4,3,12,12.401
2011_4_3_13,2011,4,3,13,NA
2011_4_3_14,2011,4,3,14,14.23
2011_4_3_15,2011,4,3,15,NA
2011_4_3_16,2011,4,3,16,14.421
2011_4_3_17,2011,4,3,17,NA
2011_4_3_18,2011,4,3,18,13.75
2011_4_3_19,2011,4,3,19,NA
2011_4_3_20,2011,4,3,20,12.787
2011_4_3_21,2011,4,3,21,NA
2011_4_3_22,2011,4,3,22,12.11
2011_4_3_23,2011,4,3,23,NA
2011_4_4_0,2011,4,4,0,11.722
2011_4_4_1,2011,4,4,1,NA
2011_4_4_2,2011,4,4,2,11.334
2011_4_4_3,2011,4,4,3,NA
2011_4_4_4,2011,4,4,4,10.944
2011_4_4_5,2011,4,4,5,NA
2011_4_4_6,2011,4,4,6,10.455
2011_4_4_7,2011,4,4,7,NA
2011_4_4_8,2011,4,4,8,9.965
2011_4_4_9,2011,4,4,9,NA
2011_4_4_10,2011,4,4,10,10.063
2011_4_4_11,2011,4,4,11,NA
2011_4_4_12,2011,4,4,12,10.651
2011_4_4_13,2011,4,4,13,NA
2011_4_4_14,2011,4,4,14,11.139
2011_4_4_15,2011,4,4,15,NA
2011_4_4_16,2011,4,4,16,11.916
2011_4_4_17,2011,4,4,17,NA
2011_4_4_18,2011,4,4,18,11.139
2011_4_4_19,2011,4,4,19,NA
2011_4_4_20,2011,4,4,20,10.161
2011_4_4_21,2011,4,4,21,NA
2011_4_4_22,2011,4,4,22,9.571
2011_4_4_23,2011,4,4,23,NA
2011_4_5_0,2011,4,5,0,9.275
2011_4_5_1,2011,4,5,1,NA
2011_4_5_2,2011,4,5,2,8.879
2011_4_5_3,2011,4,5,3,NA
2011_4_5_4,2011,4,5,4,8.282
2011_4_5_5,2011,4,5,5,NA
2011_4_5_6,2011,4,5,6,7.682
2011_4_5_7,2011,4,5,7,NA
2011_4_5_8,2011,4,5,8,7.682
2011_4_5_9,2011,4,5,9,NA
2011_4_5_10,2011,4,5,10,8.779
2011_4_5_11,2011,4,5,11,NA
2011_4_5_12,2011,4,5,12,10.357
2011_4_5_13,2011,4,5,13,NA
2011_4_5_14,2011,4,5,14,11.431
2011_4_5_15,2011,4,5,15,NA
2011_4_5_16,2011,4,5,16,11.625
2011_4_5_17,2011,4,5,17,NA
2011_4_5_18,2011,4,5,18,11.236
2011_4_5_19,2011,4,5,19,NA
2011_4_5_20,2011,4,5,20,10.553
2011_4_5_21,2011,4,5,21,NA
2011_4_5_22,2011,4,5,22,10.259
2011_4_5_23,2011,4,5,23,NA
2011_4_6_0,2011,4,6,0,9.965
2011_4_6_1,2011,4,6,1,NA
