code,Site,Date,Day,Month,Year,Date_new,Yryly_Temp,Missing_Days
Auba_2001_4_23,Auba,4/23/2001,23,4,2001,4/23/2001,NA,365
Auba_2001_6_21,Auba,6/21/2001,21,6,2001,6/21/2001,NA,365
Auba_2001_9_4,Auba,9/4/2001,4,9,2001,9/4/2001,NA,365
Auba_2002_6_14,Auba,6/14/2002,14,6,2002,6/14/2002,NA,365
Auba_2003_3_17,Auba,3/17/2003,17,3,2003,3/17/2003,NA,365
Auba_2003_7_15,Auba,7/15/2003,15,7,2003,7/15/2003,NA,365
Auba_2004_7_10,Auba,7/10/2004,10,7,2004,7/10/2004,NA,365
Auba_2005_3_24,Auba,3/24/2005,24,3,2005,3/24/2005,NA,365
Auba_2005_3_24,Auba,3/24/2005,24,3,2005,3/24/2005,NA,365
Auba_2005_6_6,Auba,6/6/2005,6,6,2005,6/6/2005,NA,365
Auba_2006_4_10,Auba,4/10/2006,10,4,2006,4/10/2006,NA,365
Auba_2006_6_15,Auba,6/15/2006,15,6,2006,6/15/2006,NA,365
Auba_2007_7_12,Auba,7/12/2007,12,7,2007,7/12/2007,NA,365
Auba_2008_4_23,Auba,4/23/2008,23,4,2008,4/23/2008,NA,365
Auba_2008_6_23,Auba,6/23/2008,23,6,2008,6/23/2008,NA,365
Auba_2009_4_8,Auba,4/8/2009,8,4,2009,4/8/2009,NA,365
Auba_2009_6_23,Auba,6/23/2009,23,6,2009,6/23/2009,NA,365
Auba_2010_3_16,Auba,3/16/2010,16,3,2010,3/16/2010,NA,365
Auba_2010_6_29,Auba,6/29/2010,29,6,2010,6/29/2010,NA,365
Auba_2011_3_24,Auba,3/24/2011,24,3,2011,3/24/2011,NA,365
Auba_2011_7_25,Auba,7/25/2011,25,7,2011,7/25/2011,NA,365
Auba_2012_3_19,Auba,3/19/2012,19,3,2012,3/19/2012,NA,365
Auba_2012_6_21,Auba,6/21/2012,21,6,2012,6/21/2012,NA,273
Auba_2013_3_20,Auba,3/20/2013,20,3,2013,3/20/2013,9.511455665,1
Auba_2013_6_17,Auba,6/17/2013,17,6,2013,6/17/2013,9.168300937,0
Auba_2014_3_11,Auba,3/11/2014,11,3,2014,3/11/2014,9.50444614,0
Auba_2014_6_17,Auba,6/17/2014,17,6,2014,6/17/2014,9.290964368,0
Auba_2015_3_10,Auba,3/10/2015,10,3,2015,3/10/2015,9.396444518,0
Auba_2015_6_16,Auba,6/16/2015,16,6,2015,6/16/2015,9.98543913,0
Auba_2016_4_11,Auba,4/11/2016,11,4,2016,4/11/2016,10.48670238,-1
Auba_2016_6_21,Auba,6/21/2016,21,6,2016,6/21/2016,10.39995402,-1
Auba_2017_3_16,Auba,3/16/2017,16,3,2017,3/16/2017,8.800749868,0
Auba_2017_6_12,Auba,6/12/2017,12,6,2017,6/12/2017,8.736242286,0
Auba_2018_3_7,Auba,3/7/2018,7,3,2018,3/7/2018,9.961518032,0
