code,siteShort,SiteShort,year,mo,day,DOY,Abundance_per_m2,Sum of mass * abundance,CWM,Yryly_Temp
Auba_2001_4_23,Auba,Auba,2001,4,23,113,1031.2,6356.163081,6.163850932,9.75
Auba_2001_6_21,Auba,Auba,2001,6,21,172,923.2,5452.990171,5.906618469,9.525
Auba_2001_9_4,Auba,Auba,2001,9,4,247,1519.2,8735.053529,5.749771939,9.75
Auba_2002_6_14,Auba,Auba,2002,6,14,165,1227.2,7888.063837,6.427692175,9.808333333
Auba_2003_3_17,Auba,Auba,2003,3,17,76,4396.8,33513.29697,7.622201822,9.483333333
Auba_2003_7_15,Auba,Auba,2003,7,15,196,1316.8,10504.61093,7.977377682,10.05
Auba_2004_4_6,Auba,Auba,2004,4,6,97,1597.6,12357.69089,7.735159544,10.525
Auba_2004_7_10,Auba,Auba,2004,7,10,192,3366.4,12505.73036,3.71486762,9.641666667
Auba_2005_3_24,Auba,Auba,2005,3,24,83,1215.885608,13276.64089,10.91931741,9.1
Auba_2005_6_6,Auba,Auba,2005,6,6,157,550.742855,3656.178944,6.638631642,9.333333333
Auba_2006_4_10,Auba,Auba,2006,4,10,100,515.68,6721.279326,13.03381812,8.958333333
Auba_2006_6_15,Auba,Auba,2006,6,15,166,905.28,8402.115209,9.281233662,8.991666667
Auba_2007_3_11,Auba,Auba,2007,3,11,70,1093.76,11402.74621,10.42527265,11.24166667
Auba_2007_7_12,Auba,Auba,2007,7,12,193,355.2,4030.969688,11.3484507,11.33333333
Auba_2008_4_23,Auba,Auba,2008,4,23,114,577.371455,5058.662712,8.761539332,9.475
Auba_2008_6_23,Auba,Auba,2008,6,23,175,699.956055,7610.666453,10.87306324,9.55
Auba_2009_4_8,Auba,Auba,2009,4,8,98,300.190483,4128.090949,13.7515717,9.5
Auba_2009_6_23,Auba,Auba,2009,6,23,174,374.4,3420.778783,9.136695468,9.175
Auba_2010_3_16,Auba,Auba,2010,3,16,75,992,10096.95622,10.17838329,9.533333333
Auba_2010_6_29,Auba,Auba,2010,6,29,180,326.133303,3241.488184,9.93915112,9.141666667
Auba_2011_3_24,Auba,Auba,2011,3,24,83,366.72,4558.021412,12.42915961,8.966666667
Auba_2011_7_25,Auba,Auba,2011,7,25,206,290.66666,4455.49696,15.32854494,9.133333333
Auba_2012_3_19,Auba,Auba,2012,3,19,79,593.726251,6238.593676,10.50752542,10.00833333
Auba_2012_6_21,Auba,Auba,2012,6,21,173,331.428576,3876.747911,11.69708405,9.633333333
Auba_2013_3_20,Auba,Auba,2013,3,20,79,542.4,8482.293028,15.63844585,9.041666667
Auba_2013_6_17,Auba,Auba,2013,6,17,168,720,6578.430055,9.13670841,8.8
Auba_2014_3_11,Auba,Auba,2014,3,11,70,695.2,6091.952554,8.762877667,10.34166667
Auba_2014_6_17,Auba,Auba,2014,6,17,168,789.8,5448.299171,6.898327641,10.69166667
Auba_2015_3_10,Auba,Auba,2015,3,10,69,498.56,5394.149397,10.81945884,10.16666667
Auba_2015_6_16,Auba,Auba,2015,6,16,167,904.8,6811.421278,7.528096019,10.025
Auba_2016_4_11,Auba,Auba,2016,4,11,102,846.933372,7348.189583,8.676231007,10.475
Auba_2016_6_21,Auba,Auba,2016,6,21,173,876.8,7260.906034,8.281142831,10.54166667
Auba_2017_3_16,Auba,Auba,2017,3,16,75,1376.900483,12578.33858,9.135256135,9.85
Auba_2017_6_12,Auba,Auba,2017,6,12,163,1393.6,19232.00689,13.80023456,10.00833333
Auba_2018_3_7,Auba,Auba,2018,3,7,66,1536,17459.40137,11.36679777,9.741666667
Auba_2018_6_15,Auba,Auba,2018,6,15,166,1759.238169,12862.49888,7.311402803,10.325
Auba_2019_4_2,Auba,Auba,2019,4,2,92,601.558443,10660.23471,17.72102917,11.3
Auba_2019_7_5,Auba,Auba,2019,7,5,186,1384.8,18352.77179,13.25301256,10.84166667
Bieb_2001_4_26,Bieb,Bieb,2001,4,26,116,802.4,11228.65518,13.99383746,9.933333333
Bieb_2001_6_22,Bieb,Bieb,2001,6,22,173,833.6,12936.45287,15.51877744,9.7
Bieb_2001_8_30,Bieb,Bieb,2001,8,30,242,1121.6,30087.62446,26.82562808,10.14166667
Bieb_2002_6_12,Bieb,Bieb,2002,6,12,163,509.6,8487.610688,16.65543699,10
Bieb_2003_3_11,Bieb,Bieb,2003,3,11,70,2314.971521,37736.20661,16.30093773,9.658333333
Bieb_2003_7_14,Bieb,Bieb,2003,7,14,195,1534.4,44359.35189,28.90990086,10.20833333
Bieb_2004_4_5,Bieb,Bieb,2004,4,5,96,1720,37179.39476,21.61592719,10.68333333
Bieb_2004_7_9,Bieb,Bieb,2004,7,9,191,2179.2,60502.33503,27.76355315,9.833333333
Bieb_2006_4_10,Bieb,Bieb,2006,4,10,100,2076.8,43588.59056,20.98834291,9.175
Bieb_2006_7_13,Bieb,Bieb,2006,7,13,194,514.8,9749.01403,18.93747869,9.516666667
Bieb_2007_3_22,Bieb,Bieb,2007,3,22,81,2432.8,44867.04387,18.44255338,11.44166667
Bieb_2007_7_12,Bieb,Bieb,2007,7,12,193,275.2,3343.733376,12.15019395,11.54166667
Bieb_2008_4_24,Bieb,Bieb,2008,4,24,115,578.095241,7106.275814,12.2925693,9.666666667
Bieb_2008_6_23,Bieb,Bieb,2008,6,23,175,452.571398,5990.807125,13.23726411,9.741666667
Bieb_2009_4_8,Bieb,Bieb,2009,4,8,98,565.115612,4757.869529,8.419285237,9.7
Bieb_2009_6_23,Bieb,Bieb,2009,6,23,174,345.454538,4718.157755,13.65782538,9.366666667
Bieb_2010_3_16,Bieb,Bieb,2010,3,16,75,574.376845,7866.928157,13.69645769,9.75
Bieb_2010_6_29,Bieb,Bieb,2010,6,29,180,397.6,6671.044131,16.77828001,9.35
Bieb_2011_3_24,Bieb,Bieb,2011,3,24,83,226.4,3513.36368,15.51839081,9.141666667
Bieb_2011_7_25,Bieb,Bieb,2011,7,25,206,349.768416,8821.241151,25.22023358,9.316666667
Bieb_2012_3_19,Bieb,Bieb,2012,3,19,79,457.929412,8090.134869,17.66677278,10.21666667
Bieb_2012_6_21,Bieb,Bieb,2012,6,21,173,407.999962,12680.46291,31.07956885,9.816666667
