,Value,Std.Error,p.value,spp,site
1,0.064695063,0.076995305,0.40385016,PO,W1
2,0.194662218,0.061291558,0.001925164,PO,O3
3,0.003229297,0.060367004,0.957403492,PO,Bieb
4,-0.017213785,0.048042691,0.720598741,PO,Auba
5,-8.54216728,4.526160038,0.074495103,OV,O3
6,-0.509702162,2.786363878,0.855580293,OV,Bieb
7,6.498248774,6.972317322,0.375658232,OV,Auba
8,-0.099731456,0.40585685,0.807326072,HS,W1
9,-0.189746571,1.07165957,0.861684306,HS,O3
10,-0.003368005,0.327635906,0.99181318,HS,Bieb
11,-0.209610362,0.278846936,0.45315434,HS,Auba
12,-3.310551753,1.5152449,0.031442305,GR,W1
13,0.21687671,1.219367659,0.859172392,GR,O3
14,-0.414389148,0.184234838,0.153431781,ET,W1
15,-0.470893062,0.325462586,0.169959069,ET,O3
16,0.001650293,0.1420444,0.990802397,ET,Bieb
17,-0.310110373,0.245762105,0.296193426,ET,Auba
18,1.278979413,0.412697525,0.002094017,ED,W1
19,-0.270755053,1.301361146,0.836124604,ED,O3
20,1.704902096,1.51362038,0.263505633,ED,Bieb
21,-1.191287411,0.545912303,0.029752015,ED,Auba
22,0.072982373,0.263209938,0.782895211,BR,W1
23,-0.076356843,0.151766954,0.615810542,BR,O3
24,0.01962291,0.078325128,0.802452888,BR,Bieb
25,-0.23311495,0.052289854,1.21334E-05,BR,Auba
26,-0.03712678,0.113458529,0.745202026,AF,W1
27,0.052628805,0.065416598,0.422202307,AF,O3
28,0.037273251,0.140575613,0.796868937,AF,Bieb
29,0.101095401,0.22540486,0.65584914,AF,Auba
30,-0.082189353,0.196758966,0.676649929,AA,W1
31,0.154919762,0.199569161,0.438967254,AA,O3
