"","Value","Std.Error","p.value","spp","site"
"1",0.0403792935229509,0.0668529204722759,0.549170045213544,"PO","W1"
"2",-0.162121233804457,0.0604774931467118,0.010907191713705,"PO","O3"
"3",-0.0415007999624263,0.0898782514388663,0.647388236905382,"PO","Bieb"
"4",-0.0693434222560715,0.0879529261178063,0.437866593979806,"PO","Auba"
"5",0.0179505843820452,0.0883030326552268,0.843434904688962,"OV","O3"
"6",-0.759539175432231,0.279672370895483,0.0299460699132464,"OV","Bieb"
"7",-0.0330355218532787,0.0809094641200534,0.692595070262825,"OV","Auba"
"8",0.383426341289712,0.130668383934851,0.0324686759797612,"HS","W1"
"9",-0.0159959158996965,0.0755400149028359,0.833347933870321,"HS","Bieb"
"10",0.197807868253304,0.056075711039054,0.000745299704538593,"HS","Auba"
"11",0.521282708310311,0.591368637550299,0.47103635376243,"ET","W1"
"12",-0.185337697557518,0.477996632722768,0.714166785769386,"ET","O3"
"13",-0.402227038540148,0.235764756351647,0.096160216713338,"ET","Bieb"
"14",0.0954093879236135,0.0431505780186187,0.0279775872160648,"ED","W1"
"15",0.0832872898961748,0.10629400805203,0.439653697200413,"ED","O3"
"16",0.373306198067632,0.201256187906742,0.0701720893081609,"ED","Bieb"
"17",-0.00791139378033743,0.0549955073206838,0.885747039384497,"ED","Auba"
"18",0.176433130277449,0.0541691095032173,0.0026651439773777,"BR","W1"
"19",-0.0264316145016755,0.0456770750261501,0.564947419981284,"BR","O3"
"20",-0.0262710696400183,0.0545875395152728,0.631748270848445,"BR","Bieb"
"21",0.00915399440081313,0.0497936431589357,0.854558267139903,"BR","Auba"
"22",0.0817313881351665,0.0807790222436835,0.314181947394457,"AA","W1"
"23",-0.0103971110252922,0.0849457157683183,0.902962162448686,"AA","O3"
