"","Value","Std.Error","p.value","spp","site"
"1",0.0642711649392763,0.0249805900228167,0.0124543450484343,"PO","W1"
"2",0.00114518620034532,0.0179655387872606,0.949287096022525,"PO","O3"
"3",0.0379858740018681,0.0118573255007872,0.00164579471725449,"PO","Bieb"
"4",0.0250672790884935,0.0141333078817081,0.0782232320145252,"PO","Auba"
"5",0.00299279340998778,0.0321340243707375,0.926723199478657,"OV","O3"
"6",0.0427065485061308,0.0312538622756456,0.17779524842912,"OV","Bieb"
"7",-0.0358347643204486,0.106308676993173,0.743782617793182,"OV","Auba"
"8",0.0039523115896919,0.0383676359893614,0.918541738371475,"HS","W1"
"9",-0.0763468901023602,0.0788160108023343,0.347124565743959,"HS","O3"
"10",0.0209909854637518,0.0139738539778621,0.135373764505167,"HS","Bieb"
"11",0.00209479143852646,0.0137609674687974,0.879168543443577,"HS","Auba"
"12",-0.0318454506990422,0.194389746384407,0.875249848658078,"ET","W1"
"13",-0.273355382241155,0.17981720866853,0.137710568679917,"ET","O3"
"14",0.284734013652546,0.143422277636257,0.0506278856897716,"ET","Bieb"
"15",0.15935324692472,0.500635087923199,0.763121255464182,"ET","Auba"
"16",0.000798584766230882,0.0295549846065613,0.978458508891847,"ED","W1"
"17",-0.0849124552851326,0.0806281247673227,0.29790044539729,"ED","O3"
"18",-0.028931499101001,0.0819625424282127,0.725064620654906,"ED","Bieb"
"19",-0.159403696879939,0.0279927126966304,0.0000000260266694102236,"ED","Auba"
"20",-0.0443209615848185,0.0336722910006727,0.195065574763566,"BR","W1"
"21",-0.0916118804149018,0.0203626246604018,0.0000158880086457479,"BR","O3"
"22",-0.0496046096145058,0.0155723707278436,0.00168967111025053,"BR","Bieb"
"23",-0.0423802884651109,0.0129474098284962,0.00119755399212925,"BR","Auba"
"24",-0.0651047194222393,0.0342926179049637,0.059220697303572,"AA","W1"
"25",0.0482115891906952,0.0386185991148061,0.214076526938387,"AA","O3"
